Missing PC (Hex),Label (Context),Instruction
0x0,No label,Not found in disassembly
0xaaaaaaaaaaaaaaaa,No label,Not found in disassembly
0x800000b6,reset_vector,"csrw	0x744,8"
0x800004aa,pass,ecall
0x80000062,shakti_end,"sw	t5,12(t6)"
